Rank,City proper/metropolitan area,Country/region,UNSD sub‑region[4],Official est. GDP up to date (billion US$),Brookings[7] 2014 est. PPP-adjusted GDP (billion US$),Metropolitan population,Official est. GDP per capita
249,Dayton,United States,North America,41.111 (2021)[19],37.51,"813,516 (2021)[20]",50533.73
45,Denver,United States,North America,253.399 (2021)[19],169.737,"2,972,566 (2021)[20]",85246.21
202,Des Moines,United States,North America,61.171 (2021)[19],39.464,"719,146 (2021)[20]",85059.22
38,Detroit,United States,North America,283.660 (2021)[19],207.538,"4,365,205 (2021)[20]",64982.06
203,Durham,United States,North America,60.814 (2021)[19],36.966,"654,012(2021)[20]",92979.95
183,Edmonton,Canada,North America,69.015 (2019)[10],,"1,442,835 (2019)[11]",47829.45
300+,El Paso,United States,North America,37.507 (2021)[19],32.659,"871,234 (2021)[20]",43053.88
233,Fresno,United States,North America,49.987 (2021)[19],45.508,"1,013,581 (2021)[20]",49320.18
184,Grand Rapids,United States,North America,68.401 (2021)[19],51.564,"1,091,620 (2021)[20]",62659.17
264,Greensboro,United States,North America,37.466 (2021)[19],40.883,"778,848 (2021)[20]",48109.52
225,Greenville,United States,North America,52.328 (2021)[19],35.617,"940,774 (2021)[20]",55624.41
162,Guadalajara,Mexico,North America,,80.656,"5,650,000 (2022)[15]",14275.4
300+,Guelph,Canada,North America,7.916 (2019)[10],,"165,125 (2019)[11]",47963.66
300+,"Halifax, Nova Scotia",Canada,North America,18.163 (2019)[10],,"439,835 (2019)[11]",41288.21
300+,"Hamilton, Ontario",Canada,North America,28.322 (2019)[10],,"795,410 (2019)[11]",35604.28
273,Harrisburg,United States,North America,43.867 (2021)[19],35.058,"596,305 (2021)[20]",73569.73
256,"Trenton, New Jersey",United States,North America,43.633 (2021)[19],,"385,898 (2021)[20]",113060.96
257,"Boise, Idaho",United States,North America,43.601 (2021)[19],,"795,268 (2021)[20]",54824.29
258,"Colorado Springs, Colorado",United States,North America,43.522 (2021)[19],,"762,793 (2021)[20]",57053.49
275,"Cape Coral, Florida",United States,North America,39.813 (2021)[19],,"787,976 (2021)[20]",50521.84
279,"Midland, Texas",United States,North America,39.497 (2021)[19],,"173,180 (2021)[20]",228086.38
281,"Portland, Maine",United States,North America,39.089 (2021)[19],,"556,893 (2021)[20]",70193.02
284,"Winston-Salem, North Carolina",United States,North America,38.504 (2021)[19],,"681,438 (2021)[20]",56498.17
296,"Provo, Utah",United States,North America,36.866 (2021)[19],,"697,141 (2021)[20]",52887.44
297,"Stockton, California",United States,North America,36.790 (2021)[19],,"789,410 (2021)[20]",46604.43
300+,"Reno, Nevada",United States,North America,35.471 (2021)[19],,"497,535 (2021)[20]",71291.47
300+,"Ogden, Utah",United States,North America,35.071 (2021)[19],,"706,696 (2021)[20]",49625.3
300+,"Santa Rosa, California",United States,North America,34.450 (2021)[19],,"485,887 (2021)[20]",70901.26
300+,"Santa Maria, California",United States,North America,33.306 (2021)[19],,"446,475 (2021)[20]",74606.64
300+,"Boulder, Colorado",United States,North America,33.182 (2021)[19],,"329,543 (2021)[20]",100684.89
300+,"Lakeland, Florida",United States,North America,33.144 (2021)[19],,"753,520 (2021)[20]",43980.25
300+,"Fayetteville, Arkansas",United States,North America,33.102 (2021)[19],,"560,709 (2021)[20]",59032.4
300+,"Vallejo, California",United States,North America,33.100 (2021)[19],,"451,716 (2021)[20]",73276.13
300+,"Lexington, Kentucky",United States,North America,32.851 (2021)[19],,"517,846 (2021)[20]",63435.85
